chi_over_kappa	current	noise	qfi_rate	noise_over_current_squared	inverse_qfi_rate
0.1464292565713143	0.04690599940461745	0.117464947460544	0.04288305436005556	53.38896495790237	23.31923448371424
0.1465292765553111	0.04697612296787165	0.117678444783155	0.04294165777564567	53.32643840057828	23.28741021654617
0.1466292965393079	0.04704631241641459	0.1178922633911435	0.04300030120722456	53.26404310237852	23.25565105185794
0.1467293165233046	0.0471165677940535	0.1181064037913475	0.04305898465479224	53.20177870910125	23.2239568121982
0.1468293365073015	0.04718688914465277	0.1183208664915883	0.04311770811834874	53.13964486775398	23.19232732071977
0.1469293564912983	0.04725727651213397	0.118535652000672	0.04317647159789402	53.07764122654859	23.16076240117722
0.1470293764752951	0.04732772994047601	0.118750760828392	0.0432352750934281	53.01576743489638	23.12926187792438
0.1471293964592919	0.04739824947371512	0.1189661934855306	0.04329411860495096	52.95402314340325	23.09782557591191
0.1472294164432887	0.04746883515594504	0.1191819504838618	0.04335300213246263	52.89240800386482	23.06645332068485
0.1473294364272855	0.04753948703131699	0.1193980323361527	0.0434119256759631	52.83092166926152	23.03514493838022
0.1474294564112822	0.04761020514403978	0.1196144395561661	0.04347088923545234	52.76956379375393	23.00390025572465
0.1475294763952791	0.04768098953837994	0.1198311726586625	0.0435298928109304	52.70833403267778	22.97271910003185
0.1476294963792759	0.04775184025866173	0.1200482321594017	0.04358893640239725	52.64723204253938	22.94160129920039
0.1477295163632727	0.0478227573492672	0.1202656185751458	0.04364802000985289	52.58625748101071	22.91054668171122
0.1478295363472694	0.04789374085463633	0.1204833324236606	0.04370714363329731	52.52541000692484	22.87955507662533
0.1479295563312663	0.04796479081926713	0.1207013742237183	0.04376630727273055	52.46468928027106	22.84862631358139
0.1480295763152631	0.04803590728771558	0.120919744495099	0.04382551092815258	52.40409496219038	22.81776022279346
0.1481295962992598	0.04810709030459583	0.1211384437585933	0.04388475459956339	52.3436267149707	22.78695663504859
0.1482296162832566	0.04817833991458027	0.1213574725360045	0.04394403828696301	52.28328420204233	22.75621538170452
0.1483296362672535	0.04824965616239954	0.1215768313501504	0.04400336199035142	52.22306708797323	22.72553629468742
0.1484296562512503	0.04832103909284263	0.1217965207248655	0.04406272570972863	52.16297503846452	22.69491920648952
0.148529676235247	0.048392488750757	0.1220165411850037	0.04412212944509462	52.10300772034591	22.6643639501669
0.1486296962192439	0.04846400518104863	0.1222368932564397	0.04418157319644942	52.04316480157103	22.63387035933712
0.1487297162032407	0.04853558842868208	0.1224575774660715	0.04424105696379301	51.98344595121301	22.60343826817705
0.1488297361872374	0.0486072385386806	0.1226785943418231	0.04430058074712539	51.92385083946004	22.57306751142058
0.1489297561712342	0.04867895555612618	0.1228999444126456	0.04436014454644657	51.86437913761064	22.54275792435631
